Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
Good,No checking account,27,existing credits paid back duly till now,Repairs,5190,unknown/ no savings account,>=7years,4,male: single,none,>4years,savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,No,Yes
Good,0 <=...<200 DM,18,existing credits paid back duly till now,Furniture/Equipment,3001,< 100 DM,4<=...<7 years,2,female: divorced/separated/married,none,>4years,real estate,40,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,delay in paying off in the past,Business,3863,< 100 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,unknown / no property,32,none,for free,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Furniture/Equipment,5801,unknown/ no savings account,>=7years,2,male: single,none,>4years,savings agreement/ life insurance,49,none,rent,1,skilled employee / official,1,No,No
Good,No checking account,12,critical account,Furniture/Equipment,1592,=>1000 DM,4<=...<7 years,3,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Business,1185,< 100 DM,1<=...<4 years,3,female: divorced/separated/married,none,1<...<=2 years,real estate,27,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,18,critical account,Furniture/Equipment,3780,< 100 DM,< 1 year,3,male: divorced/separated,none,1<...<=2 years,car or other,35,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,18,critical account,Furniture/Equipment,3612,< 100 DM,>=7years,3,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,No,No
Good,No checking account,12,existing credits paid back duly till now,Business,1076,< 100 DM,1<=...<4 years,2,male: married/widowed,none,1<...<=2 years,real estate,26,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,12,existing credits paid back duly till now,New car,3527,unknown/ no savings account,< 1 year,2,male: single,none,2<...<=3 years,savings agreement/ life insurance,45,none,own,1,management/ self-employed/highly qualified employee/ officer,2,No,Yes
Good,No checking account,18,existing credits paid back duly till now,Radio/Television,2051,< 100 DM,< 1 year,4,male: single,none,<= 1 year,real estate,33,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Furniture/Equipment,3331,< 100 DM,>=7years,2,male: single,none,>4years,savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,18,no credits taken,Business,3104,< 100 DM,4<=...<7 years,3,male: single,none,<= 1 year,savings agreement/ life insurance,31,bank,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,critical account,Radio/Television,2611,< 100 DM,>=7years,4,male: married/widowed,co-applicant,2<...<=3 years,real estate,46,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,critical account,Used car,1409,< 100 DM,>=7years,4,male: single,none,2<...<=3 years,real estate,54,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,Radio/Television,1311,100<= ... < 500 DM,4<=...<7 years,4,male: married/widowed,none,2<...<=3 years,savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,6,existing credits paid back duly till now,Radio/Television,2108,< 100 DM,4<=...<7 years,2,male: married/widowed,none,1<...<=2 years,real estate,29,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,critical account,Used car,4042,unknown/ no savings account,4<=...<7 years,3,male: single,none,>4years,savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,12,critical account,New car,926,< 100 DM,unemployed,1,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,38,none,own,1,unemployed/ unskilled - non-resident,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Radio/Television,1680,500<= ... < 1000 DM,>=7years,3,male: married/widowed,none,<= 1 year,real estate,35,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,New car,1249,< 100 DM,< 1 year,4,male: married/widowed,none,1<...<=2 years,real estate,28,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,critical account,New car,2463,100<= ... < 500 DM,4<=...<7 years,4,male: married/widowed,none,2<...<=3 years,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,6,existing credits paid back duly till now,Radio/Television,1595,< 100 DM,4<=...<7 years,3,male: single,none,1<...<=2 years,savings agreement/ life insurance,51,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,24,critical account,Repairs,2058,< 100 DM,1<=...<4 years,4,male: divorced/separated,none,1<...<=2 years,real estate,33,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,7814,< 100 DM,4<=...<7 years,3,male: single,none,2<...<=3 years,car or other,38,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,6,critical account,Radio/Television,1740,< 100 DM,>=7years,2,male: married/widowed,none,1<...<=2 years,real estate,30,none,rent,2,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Radio/Television,1240,unknown/ no savings account,>=7years,4,female: divorced/separated/married,none,1<...<=2 years,real estate,38,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,24,critical account,Used car,6842,unknown/ no savings account,1<=...<4 years,2,male: single,none,>4years,savings agreement/ life insurance,46,none,own,2,management/ self-employed/highly qualified employee/ officer,2,No,Yes
Good,No checking account,24,critical account,Furniture/Equipment,5150,< 100 DM,>=7years,4,male: single,none,>4years,car or other,33,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,6,existing credits paid back duly till now,New car,1203,100<= ... < 500 DM,>=7years,3,male: single,none,1<...<=2 years,savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,6,critical account,New car,2080,500<= ... < 1000 DM,1<=...<4 years,1,male: married/widowed,none,1<...<=2 years,car or other,24,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,existing credits paid back duly till now,Education,1538,< 100 DM,< 1 year,1,female: divorced/separated/married,none,1<...<=2 years,unknown / no property,56,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,critical account,New car,3878,100<= ... < 500 DM,< 1 year,4,male: divorced/separated,none,1<...<=2 years,car or other,37,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,30,existing credits paid back duly till now,Furniture/Equipment,3832,< 100 DM,< 1 year,2,male: married/widowed,none,<= 1 year,savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,New car,3186,=>1000 DM,4<=...<7 years,2,female: divorced/separated/married,none,2<...<=3 years,car or other,20,none,rent,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,Radio/Television,2896,100<= ... < 500 DM,< 1 year,2,male: single,none,<= 1 year,car or other,29,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,delay in paying off in the past,Business,6967,100<= ... < 500 DM,4<=...<7 years,4,male: single,none,>4years,car or other,36,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Bad,No checking account,36,existing credits paid back duly till now,Education,1819,< 100 DM,1<=...<4 years,4,male: single,none,>4years,unknown / no property,37,stores,for free,1,skilled employee / official,1,No,Yes
Bad,No checking account,24,existing credits paid back duly till now,Radio/Television,5943,unknown/ no savings account,< 1 year,1,female: divorced/separated/married,none,<= 1 year,car or other,44,none,own,2,skilled employee / official,1,No,Yes
Bad,No checking account,36,critical account,Furniture/Equipment,7127,< 100 DM,< 1 year,2,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,No,Yes
Bad,No checking account,36,existing credits paid back duly till now,Furniture/Equipment,3349,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,1<...<=2 years,car or other,28,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Bad,No checking account,36,existing credits paid back duly till now,Furniture/Equipment,10974,< 100 DM,unemployed,4,female: divorced/separated/married,none,1<...<=2 years,car or other,26,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,6,existing credits paid back duly till now,Radio/Television,518,< 100 DM,1<=...<4 years,3,female: divorced/separated/married,none,<= 1 year,real estate,29,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,18,existing credits paid back duly till now,Radio/Television,1126,unknown/ no savings account,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,real estate,21,none,rent,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,critical account,Used car,1860,< 100 DM,unemployed,4,male: single,none,1<...<=2 years,car or other,34,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,36,critical account,Radio/Television,9566,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,car or other,31,stores,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Radio/Television,701,< 100 DM,1<=...<4 years,4,male: married/widowed,none,1<...<=2 years,real estate,40,none,own,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,Radio/Television,2930,< 100 DM,4<=...<7 years,2,female: divorced/separated/married,none,<= 1 year,real estate,27,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,18,existing credits paid back duly till now,Radio/Television,1505,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,unknown / no property,32,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,18,critical account,Radio/Television,2238,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,<= 1 year,car or other,25,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,4,critical account,Radio/Television,1503,< 100 DM,4<=...<7 years,2,male: single,none,<= 1 year,real estate,42,none,own,2,unskilled - resident,2,Yes,Yes
Good,No checking account,24,critical account,Used car,2197,unknown/ no savings account,4<=...<7 years,4,male: single,none,>4years,car or other,43,none,own,2,skilled employee / official,2,No,Yes
Good,> 200 DM,12,existing credits paid back duly till now,Radio/Television,1881,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,car or other,44,none,rent,1,unskilled - resident,1,No,Yes
Good,< 0 DM,18,critical account,Radio/Television,1880,< 100 DM,4<=...<7 years,4,male: married/widowed,none,<= 1 year,savings agreement/ life insurance,32,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,18,existing credits paid back duly till now,Radio/Television,2389,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,car or other,27,stores,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,Radio/Television,1967,< 100 DM,>=7years,4,female: divorced/separated/married,none,>4years,car or other,20,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,4,critical account,New car,3380,< 100 DM,4<=...<7 years,1,female: divorced/separated/married,none,<= 1 year,real estate,37,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,4,critical account,New car,1455,< 100 DM,4<=...<7 years,2,male: single,none,<= 1 year,real estate,42,none,own,3,unskilled - resident,2,Yes,Yes
Good,No checking account,7,critical account,Radio/Television,730,unknown/ no savings account,>=7years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,No,Yes
Good,0 <=...<200 DM,18,no credits taken,Furniture/Equipment,3244,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,none,>4years,car or other,33,bank,own,2,skilled employee / official,1,No,Yes
Bad,0 <=...<200 DM,9,existing credits paid back duly till now,Radio/Television,1670,< 100 DM,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,car or other,22,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,48,existing credits paid back duly till now,Radio/Television,3979,unknown/ no savings account,4<=...<7 years,4,male: single,none,<= 1 year,car or other,41,none,own,2,skilled employee / official,2,No,Yes
Bad,0 <=...<200 DM,12,existing credits paid back duly till now,Furniture/Equipment,1922,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,37,none,own,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,18,critical account,Furniture/Equipment,1295,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,4,critical account,Radio/Television,1544,< 100 DM,4<=...<7 years,2,male: single,none,<= 1 year,real estate,42,none,own,3,unskilled - resident,2,Yes,Yes
Good,0 <=...<200 DM,8,existing credits paid back duly till now,Business,907,< 100 DM,< 1 year,3,male: married/widowed,none,1<...<=2 years,real estate,26,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,30,existing credits paid back duly till now,Radio/Television,1715,unknown/ no savings account,1<=...<4 years,4,female: divorced/separated/married,none,<= 1 year,car or other,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,10,critical account,Radio/Television,1347,unknown/ no savings account,4<=...<7 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,New car,1007,=>1000 DM,1<=...<4 years,4,male: married/widowed,none,<= 1 year,real estate,22,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Furniture/Equipment,1402,500<= ... < 1000 DM,4<=...<7 years,3,female: divorced/separated/married,none,>4years,car or other,37,none,rent,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,New car,2002,< 100 DM,4<=...<7 years,3,male: single,none,>4years,savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,No,Yes
Good,No checking account,12,critical account,Education,2096,< 100 DM,4<=...<7 years,2,male: single,none,2<...<=3 years,real estate,49,none,own,1,unskilled - resident,2,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,New car,1101,< 100 DM,1<=...<4 years,3,male: married/widowed,none,1<...<=2 years,real estate,27,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,10,existing credits paid back duly till now,Retraining,894,unknown/ no savings account,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,11,existing credits paid back duly till now,Furniture/Equipment,1577,=>1000 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,real estate,20,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,33,delay in paying off in the past,Business,2764,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,car or other,26,none,own,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,48,no credits taken,New car,8358,500<= ... < 1000 DM,< 1 year,1,female: divorced/separated/married,none,<= 1 year,car or other,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,> 200 DM,12,existing credits paid back duly till now,Furniture/Equipment,1474,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,33,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,5433,unknown/ no savings account,unemployed,2,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,26,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,14,existing credits paid back duly till now,Business,1410,500<= ... < 1000 DM,>=7years,1,male: married/widowed,none,1<...<=2 years,real estate,35,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,20,critical account,New car,3485,unknown/ no savings account,< 1 year,2,male: divorced/separated,none,>4years,real estate,44,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,18,critical account,Used car,3850,< 100 DM,4<=...<7 years,3,male: single,none,<= 1 year,car or other,27,none,own,2,skilled employee / official,1,Yes,Yes
Bad,0 <=...<200 DM,60,existing credits paid back duly till now,New car,7408,100<= ... < 500 DM,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,24,none,own,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,> 200 DM,24,existing credits paid back duly till now,Radio/Television,1377,100<= ... < 500 DM,>=7years,4,female: divorced/separated/married,none,1<...<=2 years,unknown / no property,47,none,for free,1,skilled employee / official,1,No,Yes
Good,No checking account,30,delay in paying off in the past,Business,4272,100<= ... < 500 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,26,none,own,2,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,24,delay in paying off in the past,Radio/Television,1553,100<= ... < 500 DM,4<=...<7 years,3,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,36,delay in paying off in the past,Business,9857,100<= ... < 500 DM,4<=...<7 years,1,male: single,none,2<...<=3 years,savings agreement/ life insurance,31,none,own,2,unskilled - resident,2,No,Yes
Good,No checking account,6,critical account,New car,362,100<= ... < 500 DM,1<=...<4 years,4,female: divorced/separated/married,none,>4years,car or other,52,none,own,2,unskilled - resident,1,Yes,Yes
Good,No checking account,12,critical account,Furniture/Equipment,1935,< 100 DM,>=7years,4,male: single,none,>4years,real estate,43,none,own,3,skilled employee / official,1,No,Yes
Good,No checking account,48,existing credits paid back duly till now,Radio/Television,10222,unknown/ no savings account,4<=...<7 years,4,male: single,none,2<...<=3 years,car or other,37,stores,own,1,skilled employee / official,1,No,Yes
Good,> 200 DM,12,existing credits paid back duly till now,New car,1330,< 100 DM,< 1 year,4,male: single,none,<= 1 year,real estate,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,36,existing credits paid back duly till now,Education,9055,unknown/ no savings account,1<=...<4 years,2,male: single,none,>4years,unknown / no property,35,none,for free,1,unskilled - resident,2,No,Yes
Good,0 <=...<200 DM,26,existing credits paid back duly till now,Used car,7966,< 100 DM,< 1 year,2,male: single,none,2<...<=3 years,car or other,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,30,all credits at this bank paid back duly,Furniture/Equipment,3496,=>1000 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,car or other,34,stores,own,1,skilled employee / official,2,No,Yes
Good,0 <=...<200 DM,36,existing credits paid back duly till now,Used car,6948,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,car or other,35,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,48,no credits taken,Business,12204,unknown/ no savings account,1<=...<4 years,2,male: single,none,1<...<=2 years,car or other,48,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Bad,< 0 DM,36,existing credits paid back duly till now,Furniture/Equipment,3446,< 100 DM,>=7years,4,male: single,none,1<...<=2 years,car or other,42,none,own,1,skilled employee / official,2,Yes,Yes
Bad,< 0 DM,12,existing credits paid back duly till now,Education,684,< 100 DM,1<=...<4 years,4,male: single,none,>4years,car or other,40,none,rent,1,unskilled - resident,2,Yes,Yes
Bad,< 0 DM,33,critical account,Furniture/Equipment,4281,500<= ... < 1000 DM,1<=...<4 years,1,female: divorced/separated/married,none,>4years,car or other,23,none,own,2,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,42,existing credits paid back duly till now,Radio/Television,7174,unknown/ no savings account,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,car or other,30,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Bad,< 0 DM,24,all credits at this bank paid back duly,Radio/Television,1546,< 100 DM,4<=...<7 years,4,male: single,guarantor,>4years,car or other,24,bank,rent,1,unskilled - resident,1,Yes,Yes
Bad,< 0 DM,24,existing credits paid back duly till now,Furniture/Equipment,2359,100<= ... < 500 DM,unemployed,1,male: divorced/separated,none,<= 1 year,savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,Yes,Yes
Bad,No checking account,24,existing credits paid back duly till now,Radio/Television,3621,100<= ... < 500 DM,>=7years,2,male: single,none,>4years,car or other,31,none,own,2,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,12,existing credits paid back duly till now,Domestic Appliances,741,100<= ... < 500 DM,unemployed,4,female: divorced/separated/married,none,2<...<=3 years,savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,7865,< 100 DM,>=7years,4,male: single,none,>4years,unknown / no property,53,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Used car,2910,< 100 DM,4<=...<7 years,2,male: single,none,<= 1 year,unknown / no property,34,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,18,critical account,New car,5302,< 100 DM,>=7years,2,male: single,none,>4years,unknown / no property,36,none,for free,3,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,36,existing credits paid back duly till now,Furniture/Equipment,3620,< 100 DM,1<=...<4 years,1,male: single,guarantor,1<...<=2 years,savings agreement/ life insurance,37,none,own,1,skilled employee / official,2,Yes,Yes
Good,< 0 DM,18,existing credits paid back duly till now,Radio/Television,3509,< 100 DM,4<=...<7 years,4,female: divorced/separated/married,guarantor,<= 1 year,real estate,25,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,Furniture/Equipment,3017,< 100 DM,< 1 year,3,female: divorced/separated/married,none,<= 1 year,real estate,34,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,1657,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,27,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,8,critical account,Others,1164,< 100 DM,>=7years,3,male: single,none,>4years,unknown / no property,51,bank,for free,2,management/ self-employed/highly qualified employee/ officer,2,No,Yes
Bad,< 0 DM,36,critical account,Furniture/Equipment,6229,< 100 DM,< 1 year,4,female: divorced/separated/married,co-applicant,>4years,unknown / no property,23,none,rent,2,unskilled - resident,1,No,Yes
Bad,< 0 DM,24,all credits at this bank paid back duly,New car,1193,< 100 DM,unemployed,1,female: divorced/separated/married,co-applicant,>4years,unknown / no property,29,none,rent,2,unemployed/ unskilled - non-resident,1,Yes,Yes
Good,< 0 DM,30,no credits taken,Furniture/Equipment,4583,< 100 DM,1<=...<4 years,2,male: divorced/separated,guarantor,1<...<=2 years,real estate,32,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,36,critical account,Furniture/Equipment,5371,< 100 DM,1<=...<4 years,3,male: single,guarantor,1<...<=2 years,savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,708,< 100 DM,1<=...<4 years,2,male: single,guarantor,2<...<=3 years,savings agreement/ life insurance,38,none,own,1,unskilled - resident,2,Yes,Yes
Good,< 0 DM,21,critical account,New car,571,< 100 DM,>=7years,4,male: single,none,>4years,real estate,65,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,30,existing credits paid back duly till now,Radio/Television,2522,< 100 DM,>=7years,1,male: single,guarantor,2<...<=3 years,savings agreement/ life insurance,39,none,own,1,skilled employee / official,2,Yes,Yes
Bad,< 0 DM,36,existing credits paid back duly till now,Furniture/Equipment,5179,< 100 DM,4<=...<7 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,36,existing credits paid back duly till now,Used car,8229,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,24,critical account,Furniture/Equipment,2028,< 100 DM,4<=...<7 years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,30,none,own,2,unskilled - resident,1,Yes,Yes
Good,< 0 DM,6,existing credits paid back duly till now,New car,1374,unknown/ no savings account,unemployed,4,female: divorced/separated/married,none,2<...<=3 years,savings agreement/ life insurance,75,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,1289,< 100 DM,1<=...<4 years,4,male: single,guarantor,<= 1 year,savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,Yes,Yes
Bad,< 0 DM,36,existing credits paid back duly till now,Furniture/Equipment,2712,< 100 DM,>=7years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,Yes,Yes
Good,< 0 DM,15,critical account,Furniture/Equipment,975,< 100 DM,1<=...<4 years,2,male: divorced/separated,none,2<...<=3 years,savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,6,delay in paying off in the past,Furniture/Equipment,1050,< 100 DM,unemployed,4,male: single,none,<= 1 year,savings agreement/ life insurance,35,stores,own,2,management/ self-employed/highly qualified employee/ officer,1,No,No
Good,< 0 DM,6,critical account,New car,609,< 100 DM,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,48,existing credits paid back duly till now,Used car,4788,< 100 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,Furniture/Equipment,3069,100<= ... < 500 DM,>=7years,4,male: single,none,>4years,unknown / no property,30,none,for free,1,skilled employee / official,1,Yes,Yes
Bad,0 <=...<200 DM,12,existing credits paid back duly till now,New car,836,100<= ... < 500 DM,< 1 year,4,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,23,bank,own,1,unskilled - resident,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,2577,< 100 DM,1<=...<4 years,2,male: divorced/separated,none,<= 1 year,car or other,42,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,1620,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,co-applicant,2<...<=3 years,savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,15,existing credits paid back duly till now,Furniture/Equipment,1845,< 100 DM,< 1 year,4,female: divorced/separated/married,guarantor,<= 1 year,savings agreement/ life insurance,46,none,rent,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Used car,6579,< 100 DM,unemployed,4,male: single,none,1<...<=2 years,unknown / no property,29,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,12,existing credits paid back duly till now,New car,1893,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,guarantor,>4years,savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,30,critical account,Used car,10623,< 100 DM,>=7years,3,male: single,none,>4years,unknown / no property,38,none,for free,3,management/ self-employed/highly qualified employee/ officer,2,No,Yes
Good,< 0 DM,18,existing credits paid back duly till now,New car,2249,100<= ... < 500 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,car or other,30,none,own,1,management/ self-employed/highly qualified employee/ officer,2,No,Yes
